Rank,ID,Name,Position,Week,Team,Opp,Att,RushYds,RushYds/Att,RushTD,Targets,Rec,PassYds,PassTD,Fum,Lost,FantasyPoints
33,12317,Danny Woodhead,RB,5,SD,PIT,4,10,3,0,7,5,66,0,0,0,7.60
34,11969,Darrel Young,FB,5,WAS,ATL,0,0,0,0,0,0,0,0,0,0,0.00
35,8066,Darren McFadden,RB,5,DAL,NE,5,16,3,0,10,9,62,0,0,0,7.80
36,6198,Darren Sproles,RB,5,PHI,NO,5,27,5,0,2,1,10,0,0,0,3.70
37,16847,David Johnson,RB,5,ARI,DET,3,6,2,2,0,0,0,0,0,0,12.60
38,7580,DeAngelo Williams,RB,5,PIT,SD,5,20,4,0,0,0,0,0,0,0,2.00
39,13124,DeMarco Murray,RB,5,PHI,NO,20,83,4,1,8,7,37,0,0,0,18.00
40,15631,Derrick Coleman,FB,5,SEA,CIN,0,0,0,0,0,0,0,0,0,0,0.00
41,16524,Devonta Freeman,RB,5,ATL,WAS,27,153,6,1,8,7,44,0,1,0,25.70
42,11220,Dexter McCluster,RB,5,TEN,BUF,8,20,3,0,1,1,-2,0,0,0,1.80
43,12708,Dion Lewis,RB,5,NE,DAL,6,34,6,0,11,8,59,1,0,0,15.30
44,14385,Doug Martin,RB,5,TB,JAX,24,123,5,2,3,3,35,1,0,0,33.80
45,16144,Dri Archer,RB,5,PIT,SD,0,0,0,0,0,0,0,0,0,0,0.00
46,16838,Duke Johnson,RB,5,CLE,BAL,9,22,2,0,8,6,55,0,0,0,7.70
47,15138,Eddie Lacy,RB,5,GB,LA,13,27,2,0,1,1,8,0,0,0,3.50
48,5820,Frank Gore,RB,5,IND,HOU,22,98,5,1,0,0,0,0,0,0,15.80
49,5701,Fred Jackson,RB,5,SEA,CIN,2,5,3,0,3,3,29,0,0,0,3.40
50,14916,Giovani Bernard,RB,5,CIN,SEA,15,80,5,0,8,5,21,0,0,0,10.10
1,16966,Aaron Ripkowski,FB,6,GB,SD,0,0,0,0,0,0,0,0,0,0,0.00
2,4807,Adrian Peterson,RB,6,MIN,KC,26,60,2,0,1,1,-3,0,1,0,5.70
3,2220,Ahmad Bradshaw,RB,6,IND,NE,4,8,2,0,1,1,8,0,0,0,1.60
4,16189,Alfred Blue,RB,6,HOU,JAX,0,0,0,0,0,0,0,0,0,0,0.00
5,14269,Alfred Morris,RB,6,WAS,NYJ,11,21,2,0,1,1,11,0,0,0,3.20
6,16815,Ameer Abdullah,RB,6,DET,CHI,14,48,3,0,4,3,21,0,1,0,6.90
7,15224,Andre Ellington,RB,6,ARI,PIT,1,7,7,0,2,2,47,0,0,0,5.40
8,16402,Andre Williams,RB,6,NYG,PHI,5,6,1,0,0,0,0,0,0,0,0.60
9,12285,Anthony Dixon,RB,6,BUF,CIN,0,0,0,0,0,0,0,0,0,0,0.00
10,13418,Anthony Sherman,FB,6,KC,MIN,1,0,0,0,1,1,13,0,0,0,1.30
11,16163,Antonio Andrews,RB,6,TEN,MIA,9,23,3,0,1,1,2,0,0,0,2.50
12,11792,Arian Foster,RB,6,HOU,JAX,18,53,3,0,6,5,59,1,1,0,17.20
13,15191,Austin Johnson,FB,6,NO,ATL,0,0,0,0,0,0,0,0,0,0,0.00
14,12800,Bilal Powell,RB,6,NYJ,WAS,4,-2,-1,0,1,1,1,0,0,0,-0.10
15,16178,Bishop Sankey,RB,6,TEN,MIA,3,13,4,0,3,1,7,0,0,0,2.00
16,16345,Branden Oliver,RB,6,SD,GB,7,23,3,0,4,4,40,0,0,0,6.30
17,13741,Brandon Bolden,RB,6,NE,IND,0,0,0,0,0,0,0,0,0,0,0.00
18,13446,Bruce Miller,FB,6,SF,BAL,0,0,0,0,3,3,89,0,0,0,8.90
19,16668,Carlos Hyde,RB,6,SF,BAL,21,55,3,0,2,2,5,0,0,0,6.00
20,11737,Cedric Peerman,RB,6,CIN,BUF,0,0,0,0,0,0,0,0,0,0,0.00
